iter	Passed	Remaining
0	161	161521
1	162	80975
2	162	54112
3	163	40671
4	163	32609
5	164	27232
6	164	23395
7	165	20516
8	165	18275
9	166	16483
10	167	15016
11	167	13794
12	168	12759
13	168	11874
14	169	11106
15	169	10432
16	170	9839
17	170	9310
18	171	8836
19	171	8412
20	172	8028
21	172	7681
22	173	7361
23	173	7069
24	174	6800
25	174	6552
26	175	6321
27	175	6107
28	176	5907
29	176	5721
30	177	5546
31	177	5382
32	178	5229
33	178	5084
34	179	4947
35	179	4819
36	180	4697
37	180	4581
38	181	4472
39	182	4368
40	182	4268
41	183	4174
42	183	4084
43	184	3997
44	184	3916
45	185	3837
46	185	3762
47	186	3689
48	186	3620
49	187	3555
50	187	3491
51	188	3429
52	188	3370
53	189	3313
54	189	3258
55	190	3205
56	190	3154
57	191	3104
58	191	3056
59	192	3010
60	192	2965
61	193	2922
62	193	2881
63	194	2840
64	194	2801
65	195	2762
66	195	2725
67	196	2686
68	196	2651
69	197	2617
70	197	2585
71	198	2552
72	198	2521
73	199	2490
74	199	2461
75	200	2432
76	200	2404
77	201	2376
78	201	2350
79	202	2324
80	202	2298
81	203	2273
82	203	2249
83	204	2225
84	204	2200
85	204	2178
86	205	2154
87	205	2132
88	206	2111
89	206	2091
90	207	2070
91	207	2050
92	208	2031
93	208	2012
94	209	1994
95	209	1975
96	210	1957
97	210	1940
98	211	1923
99	211	1906
100	212	1890
101	212	1871
102	213	1856
103	213	1840
104	214	1825
105	214	1810
106	215	1795
107	215	1781
108	216	1766
109	216	1753
110	217	1739
111	217	1726
112	218	1712
113	218	1699
114	219	1687
115	219	1673
116	220	1661
117	220	1648
118	221	1636
119	221	1624
120	221	1612
121	222	1601
122	222	1588
123	223	1577
124	223	1566
125	224	1555
126	224	1545
127	225	1533
128	225	1523
129	226	1514
130	226	1504
131	227	1495
132	227	1486
133	228	1477
134	229	1468
135	229	1459
136	230	1451
137	230	1441
138	231	1433
139	232	1425
140	232	1417
141	233	1409
142	233	1400
143	234	1393
144	234	1385
145	235	1378
146	236	1370
147	236	1362
148	237	1355
149	237	1348
150	238	1341
151	239	1334
152	239	1327
153	240	1319
154	240	1312
155	241	1306
156	242	1299
157	242	1292
158	243	1286
159	243	1279
160	244	1273
161	244	1267
162	245	1261
163	246	1255
164	246	1248
165	247	1242
166	247	1236
167	248	1231
168	249	1224
169	249	1219
170	250	1213
171	250	1207
172	251	1202
173	252	1196
174	252	1191
175	253	1185
176	253	1180
177	254	1175
178	255	1169
179	255	1164
180	255	1158
181	256	1152
182	257	1147
183	257	1142
184	258	1137
185	258	1132
186	259	1127
187	259	1122
188	260	1117
189	261	1112
190	261	1108
191	262	1103
192	262	1098
193	263	1094
194	264	1089
195	264	1085
196	265	1081
197	265	1076
198	266	1072
199	266	1067
200	267	1063
201	268	1059
202	268	1055
203	269	1050
204	269	1046
205	270	1042
206	271	1038
207	271	1034
208	272	1030
209	272	1026
210	273	1022
211	273	1018
